Running 131 strict-v2 EARS evidence tests
...2026-07-18 09:44:14,484 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:22,732 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:22,882 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:23,047 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:23,140 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:23,226 [ERROR] emo event=settlement_emit result=emit_failed action=system.ack client_request_id=handoff-start-ack-failure exception_type=RuntimeError latency_ms=18
.2026-07-18 09:44:23,285 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:23,388 [ERROR] emo event=post_commit_push result=emit_failed action=playback.handoff.start client_request_id=handoff-start-1 latency_ms=22
.2026-07-18 09:44:23,463 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:23,620 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:23,686 [WARNING] emo event=unauthorized_action result=forbidden action=playback.handoff.start client_request_id=handoff-start-player user=alice source_client_id=source-1 latency_ms=0
2026-07-18 09:44:23,699 [WARNING] emo event=unauthorized_action result=forbidden action=playback.handoff.start client_request_id=handoff-start-cross-user user=alice source_client_id=controller-1 latency_ms=2
.2026-07-18 09:44:23,742 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
...2026-07-18 09:44:25,841 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
127.0.0.1 - - [18/Jul/2026 09:44:25] "GET /emo/ws/?transport=polling&EIO=4&t=1784339065.8453379 HTTP/1.1" 200 -
127.0.0.1 - - [18/Jul/2026 09:44:25] "POST /emo/ws/?transport=polling&EIO=4&sid=EyoMYrUzZQhgilVeAAAA HTTP/1.1" 200 -
127.0.0.1 - - [18/Jul/2026 09:44:25] "GET /emo/ws/?transport=polling&EIO=4&sid=EyoMYrUzZQhgilVeAAAA&t=1784339065.8531108 HTTP/1.1" 200 -
127.0.0.1 - - [18/Jul/2026 09:44:25] "GET /emo/ws/?transport=polling&EIO=4&sid=EyoMYrUzZQhgilVeAAAA&t=1784339065.85916 HTTP/1.1" 200 -
.2026-07-18 09:44:26,560 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:26,779 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:26,919 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.....................
----------------------------------------------------------------------
Ran 131 tests in 15.772s

OK
